no,id,hotel_name,venue_name,venue_id,venue_number,rank,rakuten_hotel_no,rakuten_url,rakuten_url_source,jalan_yad_no,jalan_url,jalan_url_source
1,stage-001-1,東横INN品川港南口天王洲アイル,天王洲 銀河劇場,stage-001,1,1,136278,https://travel.rakuten.co.jp/HOTEL/136278/136278.html,generated_from_rakutenHotelNo,390736,https://www.jalan.net/yad390736/,generated_from_jalanYadNo
2,stage-001-2,ANAホリデイ・イン東京ベイ,天王洲 銀河劇場,stage-001,1,2,196160,https://travel.rakuten.co.jp/HOTEL/196160/196160.html,generated_from_rakutenHotelNo,349696,https://www.jalan.net/yad349696/,generated_from_jalanYadNo
3,stage-001-3,スーパーホテル品川・新馬場,天王洲 銀河劇場,stage-001,1,3,,,missing,,,missing
4,stage-002-1,アワーズイン阪急,シアターH,stage-002,2,1,,,missing,,,missing
5,stage-002-2,ヴィアイン品川大井町,シアターH,stage-002,2,2,,,missing,,,missing
6,stage-002-3,ホテルマイステイズプレミア大森,シアターH,stage-002,2,3,,,missing,,,missing
7,stage-003-1,日本青年館ホテル,日本青年館ホール,stage-003,3,1,,,missing,,,missing
8,stage-003-2,東急ステイ青山プレミア,日本青年館ホール,stage-003,3,2,,,missing,,,missing
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,日本青年館ホール,stage-003,3,3,,,missing,,,missing
10,stage-004-1,ホテルグランドシティ,東京建物 Brillia HALL(豊島区立芸術文化劇場),stage-004,4,1,,,missing,,,missing
11,stage-004-2,ホテルリソル池袋,東京建物 Brillia HALL(豊島区立芸術文化劇場),stage-004,4,2,,,missing,,,missing
12,stage-004-3,京王プレッソイン池袋,東京建物 Brillia HALL(豊島区立芸術文化劇場),stage-004,4,3,,,missing,,,missing
13,stage-005-1,ホテルグランドシティ,サンシャイン劇場,stage-005,5,1,,,missing,,,missing
14,stage-005-2,ホテルリソル池袋,サンシャイン劇場,stage-005,5,2,,,missing,,,missing
15,stage-005-3,京王プレッソイン池袋,サンシャイン劇場,stage-005,5,3,,,missing,,,missing
16,stage-006-1,リッチモンドホテル東京水道橋,Kanadevia Hall,stage-006,6,1,,,missing,,,missing
17,stage-006-2,ホテルウィングインターナショナル後楽園,Kanadevia Hall,stage-006,6,2,,,missing,,,missing
18,stage-006-3,the b 水道橋,Kanadevia Hall,stage-006,6,3,,,missing,,,missing
19,stage-007-1,リッチモンドホテル東京水道橋,IMM THEATER,stage-007,7,1,,,missing,,,missing
20,stage-007-2,ホテルウィングインターナショナル後楽園,IMM THEATER,stage-007,7,2,,,missing,,,missing
21,stage-007-3,the b 水道橋,IMM THEATER,stage-007,7,3,,,missing,,,missing
22,stage-008-1,ホテルサンライト新宿,THEATER MILANO-Za,stage-008,8,1,,,missing,,,missing
23,stage-008-2,新宿アーバンホテル,THEATER MILANO-Za,stage-008,8,2,,,missing,,,missing
24,stage-008-3,ホテルアマネク新宿歌舞伎町,THEATER MILANO-Za,stage-008,8,3,,,missing,,,missing
25,stage-009-1,ホテル ヴィラフォンテーヌ グランド 東京有明,東京ガーデンシアター,stage-009,9,1,,,missing,,,missing
26,stage-009-2,相鉄グランドフレッサ 東京ベイ有明,東京ガーデンシアター,stage-009,9,2,,,missing,,,missing
27,stage-009-3,ファーイーストビレッジホテル東京有明,東京ガーデンシアター,stage-009,9,3,,,missing,,,missing
28,stage-010-1,レム日比谷,日生劇場,stage-010,10,1,,,missing,,,missing
29,stage-010-2,銀座ベルビューホテル,日生劇場,stage-010,10,2,,,missing,,,missing
30,stage-010-3,ダイワロイネットホテル新橋,日生劇場,stage-010,10,3,172591,https://travel.rakuten.co.jp/HOTEL/172591/172591.html,generated_from_rakutenHotelNo,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
31,stage-011-1,東横INN日本橋浜町明治座前,明治座,stage-011,11,1,,,missing,,,missing
32,stage-011-2,アパホテル〈人形町駅北〉,明治座,stage-011,11,2,,,missing,,,missing
33,stage-011-3,コンフォートホテル東京東日本橋,明治座,stage-011,11,3,,,missing,,,missing
34,stage-012-1,相鉄フレッサイン 銀座三丁目,新橋演舞場,stage-012,12,1,,,missing,,,missing
35,stage-012-2,ホテルモントレ銀座,新橋演舞場,stage-012,12,2,,,missing,,,missing
36,stage-012-3,ダイワロイネットホテル東京京橋 PREMIER,新橋演舞場,stage-012,12,3,,,missing,,,missing
37,stage-013-1,レム日比谷,シアタークリエ,stage-013,13,1,,,missing,,,missing
38,stage-013-2,銀座ベルビューホテル,シアタークリエ,stage-013,13,2,,,missing,,,missing
39,stage-013-3,ダイワロイネットホテル新橋,シアタークリエ,stage-013,13,3,172591,https://travel.rakuten.co.jp/HOTEL/172591/172591.html,generated_from_rakutenHotelNo,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
40,stage-014-1,品川プリンスホテル イーストタワー,品川プリンスホテル ステラボール,stage-014,14,1,,,missing,,,missing
41,stage-014-2,京急EXホテル高輪,品川プリンスホテル ステラボール,stage-014,14,2,,,missing,,,missing
42,stage-014-3,アパホテル〈品川 泉岳寺駅前〉,品川プリンスホテル ステラボール,stage-014,14,3,,,missing,,,missing
43,stage-015-1,品川プリンスホテル イーストタワー,Club eX,stage-015,15,1,,,missing,,,missing
44,stage-015-2,京急EXホテル高輪,Club eX,stage-015,15,2,,,missing,,,missing
45,stage-015-3,アパホテル〈品川 泉岳寺駅前〉,Club eX,stage-015,15,3,,,missing,,,missing
46,stage-016-1,レム六本木,EX THEATER ROPPONGI,stage-016,16,1,,,missing,,,missing
47,stage-016-2,相鉄フレッサイン 東京六本木,EX THEATER ROPPONGI,stage-016,16,2,,,missing,,,missing
48,stage-016-3,コンフォートイン東京六本木,EX THEATER ROPPONGI,stage-016,16,3,,,missing,,,missing
49,stage-017-1,レム日比谷,ヒューリックホール東京,stage-017,17,1,,,missing,,,missing
50,stage-017-2,銀座ベルビューホテル,ヒューリックホール東京,stage-017,17,2,,,missing,,,missing
51,stage-017-3,ダイワロイネットホテル新橋,ヒューリックホール東京,stage-017,17,3,172591,https://travel.rakuten.co.jp/HOTEL/172591/172591.html,generated_from_rakutenHotelNo,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
52,stage-018-1,ホテルヴィラフォンテーヌ東京大手町,よみうり大手町ホール,stage-018,18,1,,,missing,,,missing
53,stage-018-2,相鉄フレッサイン 神田大手町,よみうり大手町ホール,stage-018,18,2,,,missing,,,missing
54,stage-018-3,グランドセントラルホテル,よみうり大手町ホール,stage-018,18,3,,,missing,,,missing
55,stage-019-1,レム日比谷,有楽町よみうりホール,stage-019,19,1,,,missing,,,missing
56,stage-019-2,銀座ベルビューホテル,有楽町よみうりホール,stage-019,19,2,,,missing,,,missing
57,stage-019-3,ダイワロイネットホテル新橋,有楽町よみうりホール,stage-019,19,3,172591,https://travel.rakuten.co.jp/HOTEL/172591/172591.html,generated_from_rakutenHotelNo,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
58,stage-020-1,レム日比谷,有楽町朝日ホール,stage-020,20,1,,,missing,,,missing
59,stage-020-2,銀座ベルビューホテル,有楽町朝日ホール,stage-020,20,2,,,missing,,,missing
60,stage-020-3,ダイワロイネットホテル新橋,有楽町朝日ホール,stage-020,20,3,172591,https://travel.rakuten.co.jp/HOTEL/172591/172591.html,generated_from_rakutenHotelNo,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
61,stage-021-1,レム日比谷,I’M A SHOW,stage-021,21,1,,,missing,,,missing
62,stage-021-2,銀座ベルビューホテル,I’M A SHOW,stage-021,21,2,,,missing,,,missing
63,stage-021-3,ダイワロイネットホテル新橋,I’M A SHOW,stage-021,21,3,172591,https://travel.rakuten.co.jp/HOTEL/172591/172591.html,generated_from_rakutenHotelNo,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
64,stage-022-1,相鉄フレッサイン 銀座三丁目,東京国際フォーラム ホールC,stage-022,22,1,,,missing,,,missing
65,stage-022-2,ホテルモントレ銀座,東京国際フォーラム ホールC,stage-022,22,2,,,missing,,,missing
66,stage-022-3,ダイワロイネットホテル東京京橋 PREMIER,東京国際フォーラム ホールC,stage-022,22,3,,,missing,,,missing
67,stage-023-1,the b 三軒茶屋,昭和女子大学 人見記念講堂,stage-023,23,1,,,missing,,,missing
68,stage-023-2,東急ステイ用賀,昭和女子大学 人見記念講堂,stage-023,23,2,,,missing,,,missing
69,stage-023-3,東急ステイ渋谷,昭和女子大学 人見記念講堂,stage-023,23,3,,,missing,,,missing
70,stage-024-1,The OneFive Tokyo Shibuya,PARCO劇場,stage-024,24,1,,,missing,,,missing
71,stage-024-2,渋谷東武ホテル,PARCO劇場,stage-024,24,2,,,missing,,,missing
72,stage-024-3,渋谷クレストンホテル,PARCO劇場,stage-024,24,3,,,missing,,,missing
73,stage-025-1,The OneFive Tokyo Shibuya,東急シアターオーブ,stage-025,25,1,,,missing,,,missing
74,stage-025-2,渋谷東武ホテル,東急シアターオーブ,stage-025,25,2,,,missing,,,missing
75,stage-025-3,渋谷クレストンホテル,東急シアターオーブ,stage-025,25,3,,,missing,,,missing
76,stage-026-1,ART HOTELS SHIBUYA,新国立劇場 中劇場,stage-026,26,1,,,missing,,,missing
77,stage-026-2,THE KNOT TOKYO Shinjuku,新国立劇場 中劇場,stage-026,26,2,,,missing,,,missing
78,stage-026-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,新国立劇場 中劇場,stage-026,26,3,,,missing,,,missing
79,stage-027-1,ART HOTELS SHIBUYA,新国立劇場 小劇場,stage-027,27,1,,,missing,,,missing
80,stage-027-2,THE KNOT TOKYO Shinjuku,新国立劇場 小劇場,stage-027,27,2,,,missing,,,missing
81,stage-027-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,新国立劇場 小劇場,stage-027,27,3,,,missing,,,missing
82,stage-028-1,ホテルサンシティ池袋,東京芸術劇場 プレイハウス,stage-028,28,1,,,missing,,,missing
83,stage-028-2,ホテルアーバン,東京芸術劇場 プレイハウス,stage-028,28,2,,,missing,,,missing
84,stage-028-3,スーパーホテルPremier池袋天然温泉,東京芸術劇場 プレイハウス,stage-028,28,3,,,missing,,,missing
85,stage-029-1,ホテルサンシティ池袋,東京芸術劇場 シアターイースト,stage-029,29,1,,,missing,,,missing
86,stage-029-2,ホテルアーバン,東京芸術劇場 シアターイースト,stage-029,29,2,,,missing,,,missing
87,stage-029-3,スーパーホテルPremier池袋天然温泉,東京芸術劇場 シアターイースト,stage-029,29,3,,,missing,,,missing
88,stage-030-1,ホテルサンシティ池袋,東京芸術劇場 シアターウエスト,stage-030,30,1,,,missing,,,missing
89,stage-030-2,ホテルアーバン,東京芸術劇場 シアターウエスト,stage-030,30,2,,,missing,,,missing
90,stage-030-3,スーパーホテルPremier池袋天然温泉,東京芸術劇場 シアターウエスト,stage-030,30,3,,,missing,,,missing
91,stage-031-1,the b 三軒茶屋,世田谷パブリックシアター,stage-031,31,1,,,missing,,,missing
92,stage-031-2,東急ステイ用賀,世田谷パブリックシアター,stage-031,31,2,,,missing,,,missing
93,stage-031-3,東急ステイ渋谷,世田谷パブリックシアター,stage-031,31,3,,,missing,,,missing
94,stage-032-1,the b 三軒茶屋,シアタートラム,stage-032,32,1,,,missing,,,missing
95,stage-032-2,東急ステイ用賀,シアタートラム,stage-032,32,2,,,missing,,,missing
96,stage-032-3,東急ステイ渋谷,シアタートラム,stage-032,32,3,,,missing,,,missing
97,stage-033-1,ホテルサンライト新宿,紀伊國屋ホール,stage-033,33,1,,,missing,,,missing
98,stage-033-2,新宿アーバンホテル,紀伊國屋ホール,stage-033,33,2,,,missing,,,missing
99,stage-033-3,ホテルアマネク新宿歌舞伎町,紀伊國屋ホール,stage-033,33,3,,,missing,,,missing
100,stage-034-1,ホテルサンルートプラザ新宿,紀伊國屋サザンシアター TAKASHIMAYA,stage-034,34,1,,,missing,,,missing
101,stage-034-2,JR九州ホテル ブラッサム新宿,紀伊國屋サザンシアター TAKASHIMAYA,stage-034,34,2,,,missing,,,missing
102,stage-034-3,京王プレッソイン新宿,紀伊國屋サザンシアター TAKASHIMAYA,stage-034,34,3,,,missing,,,missing
103,stage-035-1,ホテルサンルートプラザ新宿,こくみん共済 coop ホール/スペース・ゼロ,stage-035,35,1,,,missing,,,missing
104,stage-035-2,JR九州ホテル ブラッサム新宿,こくみん共済 coop ホール/スペース・ゼロ,stage-035,35,2,,,missing,,,missing
105,stage-035-3,京王プレッソイン新宿,こくみん共済 coop ホール/スペース・ゼロ,stage-035,35,3,,,missing,,,missing
106,stage-036-1,ホテルサンライト新宿,シアターサンモール,stage-036,36,1,,,missing,,,missing
107,stage-036-2,新宿アーバンホテル,シアターサンモール,stage-036,36,2,,,missing,,,missing
108,stage-036-3,ホテルアマネク新宿歌舞伎町,シアターサンモール,stage-036,36,3,,,missing,,,missing
109,stage-037-1,ホテルサンライト新宿,新宿シアタートップス,stage-037,37,1,,,missing,,,missing
110,stage-037-2,新宿アーバンホテル,新宿シアタートップス,stage-037,37,2,,,missing,,,missing
111,stage-037-3,ホテルアマネク新宿歌舞伎町,新宿シアタートップス,stage-037,37,3,,,missing,,,missing
112,stage-038-1,ホテルサンライト新宿,新宿FACE,stage-038,38,1,,,missing,,,missing
113,stage-038-2,新宿アーバンホテル,新宿FACE,stage-038,38,2,,,missing,,,missing
114,stage-038-3,ホテルアマネク新宿歌舞伎町,新宿FACE,stage-038,38,3,,,missing,,,missing
115,stage-039-1,ホテルアジア会館,赤坂RED/THEATER,stage-039,39,1,,,missing,,,missing
116,stage-039-2,the b 赤坂,赤坂RED/THEATER,stage-039,39,2,,,missing,,,missing
117,stage-039-3,ホテルモントレ赤坂,赤坂RED/THEATER,stage-039,39,3,,,missing,,,missing
118,stage-040-1,ホテルアジア会館,草月ホール,stage-040,40,1,,,missing,,,missing
119,stage-040-2,the b 赤坂,草月ホール,stage-040,40,2,,,missing,,,missing
120,stage-040-3,ホテルモントレ赤坂,草月ホール,stage-040,40,3,,,missing,,,missing
121,stage-041-1,相鉄フレッサイン 銀座三丁目,博品館劇場,stage-041,41,1,,,missing,,,missing
122,stage-041-2,ホテルモントレ銀座,博品館劇場,stage-041,41,2,,,missing,,,missing
123,stage-041-3,ダイワロイネットホテル東京京橋 PREMIER,博品館劇場,stage-041,41,3,,,missing,,,missing
124,stage-042-1,The OneFive Tokyo Shibuya,CBGKシブゲキ!!,stage-042,42,1,,,missing,,,missing
125,stage-042-2,渋谷東武ホテル,CBGKシブゲキ!!,stage-042,42,2,,,missing,,,missing
126,stage-042-3,渋谷クレストンホテル,CBGKシブゲキ!!,stage-042,42,3,,,missing,,,missing
127,stage-043-1,The OneFive Tokyo Shibuya,渋谷区文化総合センター大和田 さくらホール,stage-043,43,1,,,missing,,,missing
128,stage-043-2,渋谷東武ホテル,渋谷区文化総合センター大和田 さくらホール,stage-043,43,2,,,missing,,,missing
129,stage-043-3,渋谷クレストンホテル,渋谷区文化総合センター大和田 さくらホール,stage-043,43,3,,,missing,,,missing
130,stage-044-1,The OneFive Tokyo Shibuya,渋谷区文化総合センター大和田 伝承ホール,stage-044,44,1,,,missing,,,missing
131,stage-044-2,渋谷東武ホテル,渋谷区文化総合センター大和田 伝承ホール,stage-044,44,2,,,missing,,,missing
132,stage-044-3,渋谷クレストンホテル,渋谷区文化総合センター大和田 伝承ホール,stage-044,44,3,,,missing,,,missing
133,stage-045-1,アーバイン東京・上野 北千住,シアター1010,stage-045,45,1,,,missing,,,missing
134,stage-045-2,ホテル ココ・グラン北千住,シアター1010,stage-045,45,2,,,missing,,,missing
135,stage-045-3,ホテルリブマックス東京綾瀬駅前,シアター1010,stage-045,45,3,172477,https://travel.rakuten.co.jp/HOTEL/172477/172477.html,generated_from_rakutenHotelNo,359437,https://www.jalan.net/yad359437/,generated_from_jalanYadNo
136,stage-046-1,スマイルホテル東京綾瀬駅前,かめありリリオホール,stage-046,46,1,,,missing,,,missing
137,stage-046-2,ホテルリブマックス東京綾瀬駅前,かめありリリオホール,stage-046,46,2,172477,https://travel.rakuten.co.jp/HOTEL/172477/172477.html,generated_from_rakutenHotelNo,359437,https://www.jalan.net/yad359437/,generated_from_jalanYadNo
138,stage-046-3,アーバイン東京・上野 北千住,かめありリリオホール,stage-046,46,3,,,missing,,,missing
139,stage-047-1,くれたけイン東京船堀,タワーホール船堀 大ホール,stage-047,47,1,,,missing,,,missing
140,stage-047-2,レンブラントスタイル東京西葛西,タワーホール船堀 大ホール,stage-047,47,2,,,missing,,,missing
141,stage-047-3,アパホテル〈TKP東京西葛西〉,タワーホール船堀 大ホール,stage-047,47,3,,,missing,,,missing
142,stage-048-1,スマイルホテル東京新小岩,江戸川区総合文化センター 大ホール,stage-048,48,1,,,missing,,,missing
143,stage-048-2,スーパーホテル東京・JR新小岩,江戸川区総合文化センター 大ホール,stage-048,48,2,,,missing,,,missing
144,stage-048-3,サイプレスイン東京,江戸川区総合文化センター 大ホール,stage-048,48,3,,,missing,,,missing
145,stage-049-1,スマイルホテル東京新小岩,江戸川区総合文化センター 小ホール,stage-049,49,1,,,missing,,,missing
146,stage-049-2,スーパーホテル東京・JR新小岩,江戸川区総合文化センター 小ホール,stage-049,49,2,,,missing,,,missing
147,stage-049-3,サイプレスイン東京,江戸川区総合文化センター 小ホール,stage-049,49,3,,,missing,,,missing
148,stage-050-1,フレックステイイン江古田,練馬文化センター 大ホール(こぶしホール),stage-050,50,1,,,missing,,,missing
149,stage-050-2,ホテルカデンツァ東京,練馬文化センター 大ホール(こぶしホール),stage-050,50,2,,,missing,,,missing
150,stage-050-3,和光市東武ホテル,練馬文化センター 大ホール(こぶしホール),stage-050,50,3,,,missing,,,missing
151,stage-051-1,フレックステイイン江古田,練馬文化センター 小ホール(つつじホール),stage-051,51,1,,,missing,,,missing
152,stage-051-2,ホテルカデンツァ東京,練馬文化センター 小ホール(つつじホール),stage-051,51,2,,,missing,,,missing
153,stage-051-3,和光市東武ホテル,練馬文化センター 小ホール(つつじホール),stage-051,51,3,,,missing,,,missing
154,stage-052-1,吉祥寺東急REIホテル,吉祥寺シアター,stage-052,52,1,,,missing,,,missing
155,stage-052-2,吉祥寺エクセルホテル東急,吉祥寺シアター,stage-052,52,2,,,missing,,,missing
156,stage-052-3,リッチモンドホテル東京武蔵野,吉祥寺シアター,stage-052,52,3,,,missing,,,missing
157,stage-053-1,リッチモンドホテル東京武蔵野,武蔵野芸能劇場 小劇場,stage-053,53,1,,,missing,,,missing
158,stage-053-2,三鷹シティホテル,武蔵野芸能劇場 小劇場,stage-053,53,2,,,missing,,,missing
