no,id,hotel_name,venue_name,venue_id,venue_number,rank,jalan_yad_no,jalan_url,url_source
1,stage-001-1,東横INN品川港南口天王洲アイル,天王洲 銀河劇場,stage-001,1,1,390736,https://www.jalan.net/yad390736/,generated_from_jalanYadNo
2,stage-001-2,ANAホリデイ・イン東京ベイ,天王洲 銀河劇場,stage-001,1,2,349696,https://www.jalan.net/yad349696/,generated_from_jalanYadNo
3,stage-001-3,スーパーホテル品川・新馬場,天王洲 銀河劇場,stage-001,1,3,,,missing
4,stage-002-1,アワーズイン阪急,シアターH,stage-002,2,1,,,missing
5,stage-002-2,ヴィアイン品川大井町,シアターH,stage-002,2,2,,,missing
6,stage-002-3,ホテルマイステイズプレミア大森,シアターH,stage-002,2,3,,,missing
7,stage-003-1,日本青年館ホテル,日本青年館ホール,stage-003,3,1,,,missing
8,stage-003-2,東急ステイ青山プレミア,日本青年館ホール,stage-003,3,2,,,missing
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,日本青年館ホール,stage-003,3,3,,,missing
10,stage-004-1,ホテルグランドシティ,東京建物 Brillia HALL(豊島区立芸術文化劇場),stage-004,4,1,,,missing
11,stage-004-2,ホテルリソル池袋,東京建物 Brillia HALL(豊島区立芸術文化劇場),stage-004,4,2,,,missing
12,stage-004-3,京王プレッソイン池袋,東京建物 Brillia HALL(豊島区立芸術文化劇場),stage-004,4,3,,,missing
13,stage-005-1,ホテルグランドシティ,サンシャイン劇場,stage-005,5,1,,,missing
14,stage-005-2,ホテルリソル池袋,サンシャイン劇場,stage-005,5,2,,,missing
15,stage-005-3,京王プレッソイン池袋,サンシャイン劇場,stage-005,5,3,,,missing
16,stage-006-1,リッチモンドホテル東京水道橋,Kanadevia Hall,stage-006,6,1,,,missing
17,stage-006-2,ホテルウィングインターナショナル後楽園,Kanadevia Hall,stage-006,6,2,,,missing
18,stage-006-3,the b 水道橋,Kanadevia Hall,stage-006,6,3,,,missing
19,stage-007-1,リッチモンドホテル東京水道橋,IMM THEATER,stage-007,7,1,,,missing
20,stage-007-2,ホテルウィングインターナショナル後楽園,IMM THEATER,stage-007,7,2,,,missing
21,stage-007-3,the b 水道橋,IMM THEATER,stage-007,7,3,,,missing
22,stage-008-1,ホテルサンライト新宿,THEATER MILANO-Za,stage-008,8,1,,,missing
23,stage-008-2,新宿アーバンホテル,THEATER MILANO-Za,stage-008,8,2,,,missing
24,stage-008-3,ホテルアマネク新宿歌舞伎町,THEATER MILANO-Za,stage-008,8,3,,,missing
25,stage-009-1,ホテル ヴィラフォンテーヌ グランド 東京有明,東京ガーデンシアター,stage-009,9,1,,,missing
26,stage-009-2,相鉄グランドフレッサ 東京ベイ有明,東京ガーデンシアター,stage-009,9,2,,,missing
27,stage-009-3,ファーイーストビレッジホテル東京有明,東京ガーデンシアター,stage-009,9,3,,,missing
28,stage-010-1,レム日比谷,日生劇場,stage-010,10,1,,,missing
29,stage-010-2,銀座ベルビューホテル,日生劇場,stage-010,10,2,,,missing
30,stage-010-3,ダイワロイネットホテル新橋,日生劇場,stage-010,10,3,344290,https://www.jalan.net/yad344290/,generated_from_jalanYadNo
31,stage-011-1,東横INN日本橋浜町明治座前,明治座,stage-011,11,1,,,missing
32,stage-011-2,アパホテル〈人形町駅北〉,明治座,stage-011,11,2,,,missing
33,stage-011-3,コンフォートホテル東京東日本橋,明治座,stage-011,11,3,,,missing
34,stage-012-1,相鉄フレッサイン 銀座三丁目,新橋演舞場,stage-012,12,1,,,missing
35,stage-012-2,ホテルモントレ銀座,新橋演舞場,stage-012,12,2,,,missing
36,stage-012-3,ダイワロイネットホテル東京京橋 PREMIER,新橋演舞場,stage-012,12,3,,,missing
37,stage-013-1,レム日比谷,シアタークリエ,stage-013,13,1,,,missing
38,stage-013-2,銀座ベルビューホテル,シアタークリエ,stage-013,13,2,,,missing
