id,name,prefecture,station,area,venueId,storedRakutenHotelNo,imageStatus,causeCode,httpStatus,affiliateRakuten,affiliateHotelNo,matchedHotelName,matchedHotelNo,matchedBy
stage-024-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,渋谷,stage-024,,502,temporary_upstream_error,502,no,,,,
stage-025-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,渋谷,stage-025,,502,temporary_upstream_error,502,no,,,,
stage-026-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,初台,stage-026,,502,temporary_upstream_error,502,no,,,,
stage-027-3,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,初台,stage-027,,502,temporary_upstream_error,502,no,,,,
stage-042-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,渋谷,stage-042,,502,temporary_upstream_error,502,no,,,,
stage-043-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,渋谷,stage-043,,502,temporary_upstream_error,502,no,,,,
stage-044-1,The OneFive Tokyo Shibuya,東京都,渋谷・原宿,渋谷,stage-044,,502,temporary_upstream_error,502,no,,,,
stage-048-4,JR東日本ホテルメッツ プレミア 亀戸,東京都,亀戸,新小岩,stage-048,,502,temporary_upstream_error,502,no,,,,
stage-048-5,スカイハートホテル小岩,東京都,小岩,新小岩,stage-048,,502,temporary_upstream_error,502,no,,,,
stage-049-4,JR東日本ホテルメッツ プレミア 亀戸,東京都,亀戸,新小岩,stage-049,,502,temporary_upstream_error,502,no,,,,
stage-049-5,スカイハートホテル小岩,東京都,小岩,新小岩,stage-049,,502,temporary_upstream_error,502,no,,,,
stage-055-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,高円寺,stage-055,,502,temporary_upstream_error,502,no,,,,
stage-056-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,高円寺,stage-056,,502,temporary_upstream_error,502,no,,,,
stage-057-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,中野,stage-057,,502,temporary_upstream_error,502,no,,,,
stage-058-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,中野,stage-058,,502,temporary_upstream_error,502,no,,,,
stage-059-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,中野,stage-059,,502,temporary_upstream_error,502,no,,,,
stage-060-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,中野,stage-060,,502,temporary_upstream_error,502,no,,,,
stage-061-5,アパホテル&リゾート〈西新宿五丁目駅タワー〉,東京都,西新宿五丁目,中野,stage-061,,502,temporary_upstream_error,502,no,,,,
stage-065-2,ホテルミッドイン目黒駅前,東京都,目黒,都立大学,stage-065,,502,temporary_upstream_error,502,no,,,,
stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草・蔵前,浅草,stage-067,,502,temporary_upstream_error,502,no,,,,
stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草・蔵前,浅草,stage-068,,502,temporary_upstream_error,502,no,,,,
stage-085-3,セントラルホテル横須賀,神奈川県,横須賀中央,汐入・横須賀中央,stage-085,,502,temporary_upstream_error,502,no,,,,
stage-086-3,セントラルホテル横須賀,神奈川県,横須賀中央,汐入・横須賀中央,stage-086,,502,temporary_upstream_error,502,no,,,,
