id	research_no	hotel_name	venue_name	hotel_nearest_station	hotel_to_station_walk_min	venue_nearest_station	venue_station_to_venue_walk_min	hotel_source_url	venue_source_url
stage-068-1	202	ホテル トレンド 浅草	浅草花劇場	浅草	1	つくばエクスプレスの浅草	3	https://hotel-trend.jp/asakusa/	https://www.hanayashiki-kagekijo.com/access/
stage-068-2	203	アパホテル〈浅草 田原町駅前〉	浅草花劇場	田原町・浅草	1	つくばエクスプレスの浅草	3	https://www.apahotel.com/hotel/syutoken/tokyo/asakusa-tawaramachi-ekimae/	https://www.hanayashiki-kagekijo.com/access/
stage-068-3	204	ホテルウィングインターナショナルセレクト浅草駒形	浅草花劇場	浅草・蔵前	4	つくばエクスプレスの浅草	3	https://map.yahoo.co.jp/search?q=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%82%BB%E3%83%AC%E3%82%AF%E3%83%88%E6%B5%85%E8%8D%89%E9%A7%92%E5%BD%A2%22+%22%E6%B5%85%E8%8D%89%E3%83%BB%E8%94%B5%E5%89%8D%E9%A7%85%22+%E5%BE%92%E6%AD%A9+%E6%9D%B1%E4%BA%AC%E9%83%BD&maptype=basic&fr=sydd_p-locallist-default-header_lol-more_ttl&from_srv=search_web	https://www.hanayashiki-kagekijo.com/access/
stage-077-3	231	相鉄フレッサイン 横浜桜木町	ぴあアリーナMM	馬車道	1	ぴあアリーナMMに一番近い	7	https://sotetsu-hotels.com/fresa-inn/sakuragicho/	https://www.welcome.city.yokohama.jp/spot/details.php?bbid=835
stage-079-1	235	横浜桜木町ワシントンホテル	KT Zepp Yokohama	桜木町	1	パシフィコ横浜はみなとみらい	5	https://washington-hotels.jp/yokohama/	https://map.yahoo.co.jp/v3/place/koNlw1YftBM
stage-079-2	236	ニューオータニイン横浜プレミアム	KT Zepp Yokohama	桜木町	1	パシフィコ横浜はみなとみらい	5	https://www.newotani-innyokohama.jp/access/	https://map.yahoo.co.jp/v3/place/koNlw1YftBM
stage-079-3	237	相鉄フレッサイン 横浜桜木町	KT Zepp Yokohama	馬車道	1	パシフィコ横浜はみなとみらい	5	https://sotetsu-hotels.com/fresa-inn/sakuragicho/	https://map.yahoo.co.jp/v3/place/koNlw1YftBM
stage-080-1	238	ホテルJALシティ関内 横浜	横浜BUNTAI	日本大通り	2	関内駅・横浜市営地下鉄の伊勢佐木長者町	5	https://www.kannai-yokohama.jalcity.co.jp/access/	https://1201.yokohama/yokohama-buntai-access/#:~:text=%E3%80%8C%E6%A8%AA%E6%B5%9CBUNTAI%E3%80%8DJR%E9%96%A2%E5%86%85%E9%A7%85,%E5%8D%97%E5%8F%A3%E3%80%8D%E3%82%92%E5%88%A9%E7%94%A8%E3%81%97%E3%81%BE%E3%81%99%E3%80%82&text=%E9%A7%85%E3%82%92%E5%87%BA%E3%81%A6%E5%B7%A6%E6%8A%98,%E3%81%9D%E3%81%AE%E3%81%BE%E3%81%BE%E7%9B%B4%E9%80%B2%E3%80%82&text=%E6%A8%AA%E6%B5%9CBUNTAI%E3%81%AB%E5%88%B0%E7%9D%80%E3%81%A7%E3%81%99%E3%80%82
stage-080-2	239	コンフォートホテル横浜関内	横浜BUNTAI	関内	1	関内駅・横浜市営地下鉄の伊勢佐木長者町	5	https://www.welcome.city.yokohama.jp/hotel/detail.php?hotel_id=27	https://1201.yokohama/yokohama-buntai-access/#:~:text=%E3%80%8C%E6%A8%AA%E6%B5%9CBUNTAI%E3%80%8DJR%E9%96%A2%E5%86%85%E9%A7%85,%E5%8D%97%E5%8F%A3%E3%80%8D%E3%82%92%E5%88%A9%E7%94%A8%E3%81%97%E3%81%BE%E3%81%99%E3%80%82&text=%E9%A7%85%E3%82%92%E5%87%BA%E3%81%A6%E5%B7%A6%E6%8A%98,%E3%81%9D%E3%81%AE%E3%81%BE%E3%81%BE%E7%9B%B4%E9%80%B2%E3%80%82&text=%E6%A8%AA%E6%B5%9CBUNTAI%E3%81%AB%E5%88%B0%E7%9D%80%E3%81%A7%E3%81%99%E3%80%82
stage-080-3	240	ダイワロイネットホテル横浜公園	横浜BUNTAI	関内	7	関内駅・横浜市営地下鉄の伊勢佐木長者町	5	https://www.daiwaroynet.jp/yokohama-koen/access/	https://1201.yokohama/yokohama-buntai-access/#:~:text=%E3%80%8C%E6%A8%AA%E6%B5%9CBUNTAI%E3%80%8DJR%E9%96%A2%E5%86%85%E9%A7%85,%E5%8D%97%E5%8F%A3%E3%80%8D%E3%82%92%E5%88%A9%E7%94%A8%E3%81%97%E3%81%BE%E3%81%99%E3%80%82&text=%E9%A7%85%E3%82%92%E5%87%BA%E3%81%A6%E5%B7%A6%E6%8A%98,%E3%81%9D%E3%81%AE%E3%81%BE%E3%81%BE%E7%9B%B4%E9%80%B2%E3%80%82&text=%E6%A8%AA%E6%B5%9CBUNTAI%E3%81%AB%E5%88%B0%E7%9D%80%E3%81%A7%E3%81%99%E3%80%82
