research_no,id,hotel_name,jalan_url,verification_status,verification_note
1,stage-001-1,東横INN品川港南口天王洲アイル,https://www.jalan.net/yad390736/,verified,hotel name matches Jalan page; location context consistent
2,stage-001-2,ANAホリデイ・イン東京ベイ,https://www.jalan.net/yad349696/,verified,hotel name matches Jalan page; location context consistent
3,stage-001-3,スーパーホテル品川・新馬場,https://www.jalan.net/yad304182/,verified,hotel name matches Jalan page; location context consistent
4,stage-002-1,アワーズイン阪急,https://www.jalan.net/yad302472/,verified,hotel name matches Jalan page; location context consistent
5,stage-002-2,ヴィアイン品川大井町,https://www.jalan.net/yad317259/,verified,hotel name matches Jalan page; location context consistent
6,stage-002-3,ホテルマイステイズプレミア大森,https://www.jalan.net/yad314382/,verified,hotel name matches Jalan page; location context consistent
7,stage-003-1,日本青年館ホテル,https://www.jalan.net/yad335762/,verified,hotel name matches Jalan page; location context consistent
8,stage-003-2,東急ステイ青山プレミア,https://www.jalan.net/yad381958/,verified,hotel name matches Jalan page; location context consistent
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,https://www.jalan.net/yad370441/,rebranded_current_page,旧ホテルウィングインターナショナルプレミアム東京四谷と同一エリア・駅の現行じゃらん施設ページとして採用
10,stage-004-1,ホテルグランドシティ,https://www.jalan.net/yad317472/,verified,hotel name matches Jalan page; location context consistent
11,stage-004-2,ホテルリソル池袋,https://www.jalan.net/yad386545/,verified,hotel name matches Jalan page; location context consistent
12,stage-004-3,京王プレッソイン池袋,https://www.jalan.net/yad333355/,verified,hotel name matches Jalan page; location context consistent
13,stage-005-1,ホテルグランドシティ,https://www.jalan.net/yad317472/,verified,hotel name matches Jalan page; location context consistent
14,stage-005-2,ホテルリソル池袋,https://www.jalan.net/yad386545/,verified,hotel name matches Jalan page; location context consistent
15,stage-005-3,京王プレッソイン池袋,https://www.jalan.net/yad333355/,verified,hotel name matches Jalan page; location context consistent
16,stage-006-1,リッチモンドホテル東京水道橋,https://www.jalan.net/yad332210/,verified,hotel name matches Jalan page; location context consistent
17,stage-006-2,ホテルウィングインターナショナル後楽園,https://www.jalan.net/yad317436/,rebranded_current_page,旧ホテルウィングインターナショナル後楽園と同一エリア・駅の現行じゃらん施設ページとして採用
18,stage-006-3,the b 水道橋,https://www.jalan.net/yad369889/,verified,hotel name matches Jalan page; location context consistent
19,stage-007-1,リッチモンドホテル東京水道橋,https://www.jalan.net/yad332210/,verified,hotel name matches Jalan page; location context consistent
20,stage-007-2,ホテルウィングインターナショナル後楽園,https://www.jalan.net/yad317436/,rebranded_current_page,旧ホテルウィングインターナショナル後楽園と同一エリア・駅の現行じゃらん施設ページとして採用
21,stage-007-3,the b 水道橋,https://www.jalan.net/yad369889/,verified,hotel name matches Jalan page; location context consistent
22,stage-008-1,ホテルサンライト新宿,https://www.jalan.net/yad343909/,verified,hotel name matches Jalan page; location context consistent
23,stage-008-2,新宿アーバンホテル,https://www.jalan.net/yad321016/,verified,hotel name matches Jalan page; location context consistent
24,stage-008-3,ホテルアマネク新宿歌舞伎町,https://www.jalan.net/yad357994/,verified,hotel name matches Jalan page; location context consistent
25,stage-009-1,ホテル ヴィラフォンテーヌ グランド 東京有明,https://www.jalan.net/yad379750/,verified_fuzzy,hotel name is a fuzzy/renamed match; location context consistent
26,stage-009-2,相鉄グランドフレッサ 東京ベイ有明,https://www.jalan.net/yad350291/,verified,hotel name matches Jalan page; location context consistent
27,stage-009-3,ファーイーストビレッジホテル東京有明,https://www.jalan.net/yad320700/,verified,hotel name matches Jalan page; location context consistent
28,stage-010-1,レム日比谷,https://www.jalan.net/yad334400/,verified,hotel name matches Jalan page; location context consistent
29,stage-010-2,銀座ベルビューホテル,https://www.jalan.net/yad303626/,verified,hotel name matches Jalan page; location context consistent
30,stage-010-3,ダイワロイネットホテル新橋,https://www.jalan.net/yad344290/,verified,hotel name matches Jalan page; location context consistent
31,stage-011-1,東横INN日本橋浜町明治座前,https://www.jalan.net/yad380797/,verified,hotel name matches Jalan page; location context consistent
