research_no,id,hotel_name,prefecture,station,jalan_url,jalan_hotel_name,verification_status,live_h1,live_title,name_similarity,prefecture_on_page,audit_status,error
1,stage-001-1,東横INN品川港南口天王洲アイル,東京都,天王洲アイル,https://www.jalan.net/yad390736/,東横ＩＮＮ品川港南口天王洲アイル,verified,東横ＩＮＮ品川港南口天王洲アイルの施設概要,東横ＩＮＮ品川港南口天王洲アイル - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
2,stage-001-2,ANAホリデイ・イン東京ベイ,東京都,天王洲アイル,https://www.jalan.net/yad349696/,ANAホリデイ・イン東京ベイ by IHG,verified,ANAホリデイ・イン東京ベイ by IHGの施設概要,ANAホリデイ・イン東京ベイ by IHG - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
3,stage-001-3,スーパーホテル品川・新馬場,東京都,新馬場,https://www.jalan.net/yad304182/,スーパーホテル品川・新馬場 高濃度炭酸泉 七福神の湯,verified,スーパーホテル品川・新馬場 高濃度炭酸泉 七福神の湯の施設概要,スーパーホテル品川・新馬場 高濃度炭酸泉 七福神の湯 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
4,stage-002-1,アワーズイン阪急,東京都,大井町,https://www.jalan.net/yad302472/,アワーズイン阪急,verified,アワーズイン阪急の施設概要,アワーズイン阪急 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
5,stage-002-2,ヴィアイン品川大井町,東京都,大井町,https://www.jalan.net/yad317259/,ＪＲ西日本グループ ヴィアイン品川大井町,verified,ＪＲ西日本グループ ヴィアイン品川大井町の施設概要,ＪＲ西日本グループ ヴィアイン品川大井町 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
6,stage-002-3,ホテルマイステイズプレミア大森,東京都,大森,https://www.jalan.net/yad314382/,ホテルマイステイズプレミア大森,verified,ホテルマイステイズプレミア大森の施設概要,ホテルマイステイズプレミア大森 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
7,stage-003-1,日本青年館ホテル,東京都,外苑前・国立競技場,https://www.jalan.net/yad335762/,日本青年館ホテル,verified,日本青年館ホテルの施設概要,日本青年館ホテル - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
8,stage-003-2,東急ステイ青山プレミア,東京都,外苑前,https://www.jalan.net/yad381958/,東急ステイ青山プレミア,verified,東急ステイ青山プレミアの施設概要,東急ステイ青山プレミア - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,東京都,四谷三丁目,https://www.jalan.net/yad370441/,KOKO HOTEL 新宿四谷,rebranded_current_page,KOKO HOTEL 新宿四谷の施設概要,KOKO HOTEL 新宿四谷 - 宿泊予約は＜じゃらんnet＞,0.093,True,suspect,
10,stage-004-1,ホテルグランドシティ,東京都,池袋東口,https://www.jalan.net/yad317472/,ホテルグランドシティ,verified,ホテルグランドシティの施設概要,ホテルグランドシティ - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
11,stage-004-2,ホテルリソル池袋,東京都,東池袋・池袋,https://www.jalan.net/yad386545/,ホテルリソル池袋,verified,ホテルリソル池袋の施設概要,ホテルリソル池袋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
12,stage-004-3,京王プレッソイン池袋,東京都,東池袋・池袋,https://www.jalan.net/yad333355/,京王プレッソイン池袋,verified,京王プレッソイン池袋の施設概要,京王プレッソイン池袋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
13,stage-005-1,ホテルグランドシティ,東京都,池袋東口,https://www.jalan.net/yad317472/,ホテルグランドシティ,verified,ホテルグランドシティの施設概要,ホテルグランドシティ - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
14,stage-005-2,ホテルリソル池袋,東京都,東池袋・池袋,https://www.jalan.net/yad386545/,ホテルリソル池袋,verified,ホテルリソル池袋の施設概要,ホテルリソル池袋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
15,stage-005-3,京王プレッソイン池袋,東京都,東池袋・池袋,https://www.jalan.net/yad333355/,京王プレッソイン池袋,verified,京王プレッソイン池袋の施設概要,京王プレッソイン池袋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
16,stage-006-1,リッチモンドホテル東京水道橋,東京都,水道橋・後楽園,https://www.jalan.net/yad332210/,リッチモンドホテル東京水道橋,verified,リッチモンドホテル東京水道橋の施設概要,リッチモンドホテル東京水道橋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
17,stage-006-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,https://www.jalan.net/yad317436/,KOKO HOTEL 後楽園,rebranded_current_page,KOKO HOTEL 後楽園の施設概要,KOKO HOTEL 後楽園 - 宿泊予約は＜じゃらんnet＞,0.1667,True,suspect,
18,stage-006-3,the b 水道橋,東京都,水道橋・春日,https://www.jalan.net/yad369889/,the b 水道橋（ザビーすいどうばし）,verified,the b 水道橋（ザビーすいどうばし）の施設概要,the b 水道橋（ザビーすいどうばし） - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
19,stage-007-1,リッチモンドホテル東京水道橋,東京都,水道橋・後楽園,https://www.jalan.net/yad332210/,リッチモンドホテル東京水道橋,verified,リッチモンドホテル東京水道橋の施設概要,リッチモンドホテル東京水道橋 - 宿泊予約は＜じゃらんnet＞,0.97,True,match,
