research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre
1,stage-001-1,東横INN品川港南口天王洲アイル,東京都,天王洲アイル,天王洲アイル,stage-001,1,天王洲 銀河劇場,1,stage
2,stage-001-2,ANAホリデイ・イン東京ベイ,東京都,天王洲アイル,天王洲アイル,stage-001,1,天王洲 銀河劇場,2,stage
3,stage-001-3,スーパーホテル品川・新馬場,東京都,天王洲アイル,新馬場,stage-001,1,天王洲 銀河劇場,3,stage
4,stage-002-1,アワーズイン阪急,東京都,大井競馬場前・立会川,大井町,stage-002,2,シアターH,1,stage
5,stage-002-2,ヴィアイン品川大井町,東京都,大井競馬場前・立会川,大井町,stage-002,2,シアターH,2,stage
6,stage-002-3,ホテルマイステイズプレミア大森,東京都,大井競馬場前・立会川,大森,stage-002,2,シアターH,3,stage
7,stage-003-1,日本青年館ホテル,東京都,外苑前・国立競技場,外苑前・国立競技場,stage-003,3,日本青年館ホール,1,stage
8,stage-003-2,東急ステイ青山プレミア,東京都,外苑前・国立競技場,外苑前,stage-003,3,日本青年館ホール,2,stage
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,東京都,外苑前・国立競技場,四谷三丁目,stage-003,3,日本青年館ホール,3,stage
10,stage-004-1,ホテルグランドシティ,東京都,池袋東口,池袋東口,stage-004,4,東京建物 Brillia HALL(豊島区立芸術文化劇場),1,stage
11,stage-004-2,ホテルリソル池袋,東京都,池袋東口,東池袋・池袋,stage-004,4,東京建物 Brillia HALL(豊島区立芸術文化劇場),2,stage
12,stage-004-3,京王プレッソイン池袋,東京都,池袋東口,東池袋・池袋,stage-004,4,東京建物 Brillia HALL(豊島区立芸術文化劇場),3,stage
13,stage-005-1,ホテルグランドシティ,東京都,東池袋・池袋,池袋東口,stage-005,5,サンシャイン劇場,1,stage
14,stage-005-2,ホテルリソル池袋,東京都,東池袋・池袋,東池袋・池袋,stage-005,5,サンシャイン劇場,2,stage
15,stage-005-3,京王プレッソイン池袋,東京都,東池袋・池袋,東池袋・池袋,stage-005,5,サンシャイン劇場,3,stage
16,stage-006-1,リッチモンドホテル東京水道橋,東京都,水道橋・後楽園,水道橋・後楽園,stage-006,6,Kanadevia Hall,1,stage
17,stage-006-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,水道橋・後楽園,stage-006,6,Kanadevia Hall,2,stage
18,stage-006-3,the b 水道橋,東京都,水道橋・後楽園,水道橋・春日,stage-006,6,Kanadevia Hall,3,stage
