research_no,id,hotel_name,prefecture,area,station,venueId,venue_name,verification_status,candidate_url,jalan_hotel_name,name_similarity,prefecture_match,station_match,verification_note,search_url
9,stage-003-3,ホテルウィングインターナショナルプレミアム東京四谷,東京都,外苑前・国立競技場,四谷三丁目,stage-003,日本青年館ホール,needs_review,https://www.jalan.net/yad370441/,KOKO HOTEL 新宿四谷,0.1053,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%E6%9D%B1%E4%BA%AC%E5%9B%9B%E8%B0%B7%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
17,stage-006-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,水道橋・後楽園,stage-006,Kanadevia Hall,needs_review,https://www.jalan.net/yad317436/,KOKO HOTEL 後楽園,0.1935,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E5%BE%8C%E6%A5%BD%E5%9C%92%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
20,stage-007-2,ホテルウィングインターナショナル後楽園,東京都,水道橋・後楽園,水道橋・後楽園,stage-007,IMM THEATER,needs_review,https://www.jalan.net/yad317436/,KOKO HOTEL 後楽園,0.1935,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E5%BE%8C%E6%A5%BD%E5%9C%92%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
52,stage-018-1,ホテルヴィラフォンテーヌ東京大手町,東京都,大手町,大手町・神田,stage-018,よみうり大手町ホール,needs_review,https://www.jalan.net/yad365524/,ヴィラフォンテーヌ東京大手町｜住友不動産,0.7568,True,True,possible renamed hotel; manual confirmation recommended,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%A9%E3%83%95%E3%82%A9%E3%83%B3%E3%83%86%E3%83%BC%E3%83%8C%E6%9D%B1%E4%BA%AC%E5%A4%A7%E6%89%8B%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
69,stage-023-3,東急ステイ渋谷,東京都,三軒茶屋,神泉・渋谷,stage-023,昭和女子大学 人見記念講堂,needs_review,https://www.jalan.net/yad329696/,東急ステイ渋谷（道玄坂上）,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%80%A5%E3%82%B9%E3%83%86%E3%82%A4%E6%B8%8B%E8%B0%B7%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
70,stage-024-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-024,PARCO劇場,needs_review,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22The%20OneFive%20Tokyo%20Shibuya%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
73,stage-025-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-025,東急シアターオーブ,needs_review,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22The%20OneFive%20Tokyo%20Shibuya%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
76,stage-026-1,ART HOTELS SHIBUYA,東京都,初台,初台・幡ヶ谷,stage-026,新国立劇場 中劇場,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22ART%20HOTELS%20SHIBUYA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
79,stage-027-1,ART HOTELS SHIBUYA,東京都,初台,初台・幡ヶ谷,stage-027,新国立劇場 小劇場,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22ART%20HOTELS%20SHIBUYA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
93,stage-031-3,東急ステイ渋谷,東京都,三軒茶屋,神泉・渋谷,stage-031,世田谷パブリックシアター,needs_review,https://www.jalan.net/yad329696/,東急ステイ渋谷（道玄坂上）,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%80%A5%E3%82%B9%E3%83%86%E3%82%A4%E6%B8%8B%E8%B0%B7%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
96,stage-032-3,東急ステイ渋谷,東京都,三軒茶屋,神泉・渋谷,stage-032,シアタートラム,needs_review,https://www.jalan.net/yad329696/,東急ステイ渋谷（道玄坂上）,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%80%A5%E3%82%B9%E3%83%86%E3%82%A4%E6%B8%8B%E8%B0%B7%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
116,stage-039-2,the b 赤坂,東京都,赤坂,赤坂,stage-039,赤坂RED/THEATER,needs_review,https://www.jalan.net/yad383484/,the b 赤坂（ザビーあかさか）,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22the%20b%20%E8%B5%A4%E5%9D%82%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
119,stage-040-2,the b 赤坂,東京都,青山一丁目・赤坂見附,赤坂,stage-040,草月ホール,needs_review,https://www.jalan.net/yad383484/,the b 赤坂（ザビーあかさか）,0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22the%20b%20%E8%B5%A4%E5%9D%82%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
124,stage-042-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-042,CBGKシブゲキ!!,needs_review,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22The%20OneFive%20Tokyo%20Shibuya%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
127,stage-043-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-043,渋谷区文化総合センター大和田 さくらホール,needs_review,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22The%20OneFive%20Tokyo%20Shibuya%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
130,stage-044-1,The OneFive Tokyo Shibuya,東京都,渋谷,渋谷・原宿,stage-044,渋谷区文化総合センター大和田 伝承ホール,needs_review,https://www.jalan.net/yad375986/,ザ・ワンファイブ東京渋谷,0.0,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22The%20OneFive%20Tokyo%20Shibuya%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
187,stage-063-1,TOKIO's HOTEL,東京都,王子,王子,stage-063,北とぴあ さくらホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22TOKIO%27s%20HOTEL%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
194,stage-065-2,ホテルミッドイン目黒駅前,東京都,都立大学,目黒,stage-065,めぐろパーシモンホール 大ホール,needs_review,https://www.jalan.net/yad351481/,ネストホテルオルト目黒駅前,0.56,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9F%E3%83%83%E3%83%89%E3%82%A4%E3%83%B3%E7%9B%AE%E9%BB%92%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
201,stage-067-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草,浅草・蔵前,stage-067,浅草公会堂,needs_review,https://www.jalan.net/yad357688/,KOKO HOTEL 浅草駒形,0.2162,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%82%BB%E3%83%AC%E3%82%AF%E3%83%88%E6%B5%85%E8%8D%89%E9%A7%92%E5%BD%A2%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
204,stage-068-3,ホテルウィングインターナショナルセレクト浅草駒形,東京都,浅草,浅草・蔵前,stage-068,浅草花劇場,needs_review,https://www.jalan.net/yad357688/,KOKO HOTEL 浅草駒形,0.2162,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E3%82%BB%E3%83%AC%E3%82%AF%E3%83%88%E6%B5%85%E8%8D%89%E9%A7%92%E5%BD%A2%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
219,stage-073-3,京急EXイン 羽田,東京都,天空橋,天空橋・穴守稲荷,stage-073,Zepp Haneda (TOKYO),needs_review,https://www.jalan.net/yad354515/,京急ＥＸイン羽田[天空橋駅前Ａ２出口徒歩３分],0.97,True,True,multiple Jalan candidates have similar scores,https://search.yahoo.co.jp/search?p=%22%E4%BA%AC%E6%80%A5EX%E3%82%A4%E3%83%B3%20%E7%BE%BD%E7%94%B0%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
270,stage-090-3,ホテルウィングインターナショナル相模原,神奈川県,相模大野,上溝,stage-090,相模女子大学グリーンホール 大ホール,needs_review,https://www.jalan.net/yad334192/,KOKO STAY 相模原,0.2,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%8A%E3%82%B7%E3%83%A7%E3%83%8A%E3%83%AB%E7%9B%B8%E6%A8%A1%E5%8E%9F%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
272,stage-091-2,アイホテル橋本,神奈川県,橋本,橋本,stage-091,杜のホールはしもと ホール,needs_review,https://www.jalan.net/yad367436/,アパホテル〈相模原橋本駅東〉,0.6316,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%82%A2%E3%82%A4%E3%83%9B%E3%83%86%E3%83%AB%E6%A9%8B%E6%9C%AC%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
294,stage-098-3,新松戸ステーションホテル,千葉県,新八柱・八柱,新松戸,stage-098,森のホール21 大ホール,needs_review,https://www.jalan.net/yad323070/,アーバンホテル東京 新松戸,0.4167,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E6%96%B0%E6%9D%BE%E6%88%B8%E3%82%B9%E3%83%86%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
312,stage-104-3,X wave 船橋,千葉県,船橋,船橋,stage-104,船橋市民文化ホール,needs_review,https://www.jalan.net/yad348715/,クロス・ウェーブ船橋,0.25,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22X%20wave%20%E8%88%B9%E6%A9%8B%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
321,stage-107-3,浦和ワシントンホテル,埼玉県,南浦和,浦和,stage-107,さいたま市文化センター 大ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22%E6%B5%A6%E5%92%8C%E3%83%AF%E3%82%B7%E3%83%B3%E3%83%88%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
329,stage-110-2,浦和ワシントンホテル,埼玉県,浦和,浦和,stage-110,埼玉会館 大ホール,not_found,,,,,,no verified Jalan facility page found,https://search.yahoo.co.jp/search?p=%22%E6%B5%A6%E5%92%8C%E3%83%AF%E3%82%B7%E3%83%B3%E3%83%88%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93
