research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
191,stage-064-2,和光市東武ホテル,東京都,光が丘,和光市,stage-064,64,IMAホール,2,stage,https://www.jalan.net/yad370584/,和光市東武ホテル,verified,1.0,False,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E5%92%8C%E5%85%89%E5%B8%82%E6%9D%B1%E6%AD%A6%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad370584/,2026-08-08T16:27:30+09:00,
192,stage-064-3,東横INN和光市駅前,東京都,光が丘,和光市,stage-064,64,IMAホール,3,stage,https://www.jalan.net/yad329704/,東横ＩＮＮ和光市駅前,verified,1.0,False,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%A8%AAINN%E5%92%8C%E5%85%89%E5%B8%82%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad329704/,2026-08-08T16:27:33+09:00,
193,stage-065-1,東急ステイ目黒・祐天寺,東京都,都立大学,祐天寺,stage-065,65,めぐろパーシモンホール 大ホール,1,stage,https://www.jalan.net/yad322009/,東急ステイ目黒・祐天寺,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%9D%B1%E6%80%A5%E3%82%B9%E3%83%86%E3%82%A4%E7%9B%AE%E9%BB%92%E3%83%BB%E7%A5%90%E5%A4%A9%E5%AF%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad322009/,2026-08-08T16:27:36+09:00,
194,stage-065-2,ホテルミッドイン目黒駅前,東京都,都立大学,目黒,stage-065,65,めぐろパーシモンホール 大ホール,2,stage,,ネストホテルオルト目黒駅前,needs_review,0.56,True,True,candidate exists but name/location match is not strong enough,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9F%E3%83%83%E3%83%89%E3%82%A4%E3%83%B3%E7%9B%AE%E9%BB%92%E9%A7%85%E5%89%8D%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad351481/,2026-08-08T16:27:39+09:00,
195,stage-065-3,ホテルアベスト目黒,東京都,都立大学,目黒,stage-065,65,めぐろパーシモンホール 大ホール,3,stage,https://www.jalan.net/yad375748/,ホテルアベスト目黒,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%82%A2%E3%83%99%E3%82%B9%E3%83%88%E7%9B%AE%E9%BB%92%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad375748/,2026-08-08T16:27:43+09:00,
196,stage-066-1,ホテルマイステイズ蒲田,東京都,蒲田,蒲田,stage-066,66,大田区民ホール・アプリコ 大ホール,1,stage,https://www.jalan.net/yad328010/,ホテルマイステイズ蒲田,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%E3%83%9E%E3%82%A4%E3%82%B9%E3%83%86%E3%82%A4%E3%82%BA%E8%92%B2%E7%94%B0%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad328010/,2026-08-08T16:27:46+09:00,
197,stage-066-2,ビジネスイン和,東京都,蒲田,蒲田,stage-066,66,大田区民ホール・アプリコ 大ホール,2,stage,https://www.jalan.net/yad380776/,ビジネスイン和,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E3%82%A4%E3%83%B3%E5%92%8C%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad380776/,2026-08-08T16:27:50+09:00,
198,stage-066-3,グランパークホテル パネックス東京,東京都,蒲田,蒲田,stage-066,66,大田区民ホール・アプリコ 大ホール,3,stage,https://www.jalan.net/yad332385/,グランパークホテル パネックス東京,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%B0%E3%83%A9%E3%83%B3%E3%83%91%E3%83%BC%E3%82%AF%E3%83%9B%E3%83%86%E3%83%AB%20%E3%83%91%E3%83%8D%E3%83%83%E3%82%AF%E3%82%B9%E6%9D%B1%E4%BA%AC%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad332385/,2026-08-08T16:27:53+09:00,
199,stage-067-1,ホテル トレンド 浅草,東京都,浅草,浅草,stage-067,67,浅草公会堂,1,stage,https://www.jalan.net/yad337634/,ホテルトレンド浅草,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%AB%20%E3%83%88%E3%83%AC%E3%83%B3%E3%83%89%20%E6%B5%85%E8%8D%89%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad337634/,2026-08-08T16:27:56+09:00,
200,stage-067-2,アパホテル〈浅草 田原町駅前〉,東京都,浅草,田原町・浅草,stage-067,67,浅草公会堂,2,stage,https://www.jalan.net/yad347008/,アパホテル〈浅草 田原町駅前〉,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%82%A2%E3%83%91%E3%83%9B%E3%83%86%E3%83%AB%E3%80%88%E6%B5%85%E8%8D%89%20%E7%94%B0%E5%8E%9F%E7%94%BA%E9%A7%85%E5%89%8D%E3%80%89%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad347008/,2026-08-08T16:28:00+09:00,
