research_no,id,hotel_name,prefecture,area,station,venueId,venueNumber,venue_name,rank,genre,jalan_url,jalan_hotel_name,verification_status,name_similarity,prefecture_match,station_match,verification_note,search_url,candidate_url,checked_at,error
229,stage-077-1,横浜桜木町ワシントンホテル,神奈川県,みなとみらい・桜木町,桜木町,stage-077,77,ぴあアリーナMM,1,stage,https://www.jalan.net/yad322644/,横浜桜木町ワシントンホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%A8%AA%E6%B5%9C%E6%A1%9C%E6%9C%A8%E7%94%BA%E3%83%AF%E3%82%B7%E3%83%B3%E3%83%88%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad322644/,2026-08-08T16:27:30+09:00,
230,stage-077-2,ニューオータニイン横浜プレミアム,神奈川県,みなとみらい・桜木町,桜木町,stage-077,77,ぴあアリーナMM,2,stage,https://www.jalan.net/yad362198/,ニューオータニイン横浜プレミアム,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%BF%E3%83%8B%E3%82%A4%E3%83%B3%E6%A8%AA%E6%B5%9C%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad362198/,2026-08-08T16:27:34+09:00,
231,stage-077-3,相鉄フレッサイン 横浜桜木町,神奈川県,みなとみらい・桜木町,馬車道,stage-077,77,ぴあアリーナMM,3,stage,https://www.jalan.net/yad369618/,相鉄フレッサイン横浜桜木町,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E7%9B%B8%E9%89%84%E3%83%95%E3%83%AC%E3%83%83%E3%82%B5%E3%82%A4%E3%83%B3%20%E6%A8%AA%E6%B5%9C%E6%A1%9C%E6%9C%A8%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad369618/,2026-08-08T16:27:37+09:00,
232,stage-078-1,横浜桜木町ワシントンホテル,神奈川県,みなとみらい,桜木町,stage-078,78,パシフィコ横浜 国立大ホール,1,stage,https://www.jalan.net/yad322644/,横浜桜木町ワシントンホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%A8%AA%E6%B5%9C%E6%A1%9C%E6%9C%A8%E7%94%BA%E3%83%AF%E3%82%B7%E3%83%B3%E3%83%88%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad322644/,2026-08-08T16:27:30+09:00,
233,stage-078-2,ニューオータニイン横浜プレミアム,神奈川県,みなとみらい,桜木町,stage-078,78,パシフィコ横浜 国立大ホール,2,stage,https://www.jalan.net/yad362198/,ニューオータニイン横浜プレミアム,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%BF%E3%83%8B%E3%82%A4%E3%83%B3%E6%A8%AA%E6%B5%9C%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad362198/,2026-08-08T16:27:34+09:00,
234,stage-078-3,相鉄フレッサイン 横浜桜木町,神奈川県,みなとみらい,馬車道,stage-078,78,パシフィコ横浜 国立大ホール,3,stage,https://www.jalan.net/yad369618/,相鉄フレッサイン横浜桜木町,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E7%9B%B8%E9%89%84%E3%83%95%E3%83%AC%E3%83%83%E3%82%B5%E3%82%A4%E3%83%B3%20%E6%A8%AA%E6%B5%9C%E6%A1%9C%E6%9C%A8%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad369618/,2026-08-08T16:27:37+09:00,
235,stage-079-1,横浜桜木町ワシントンホテル,神奈川県,新高島・横浜駅東口,桜木町,stage-079,79,KT Zepp Yokohama,1,stage,https://www.jalan.net/yad322644/,横浜桜木町ワシントンホテル,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E6%A8%AA%E6%B5%9C%E6%A1%9C%E6%9C%A8%E7%94%BA%E3%83%AF%E3%82%B7%E3%83%B3%E3%83%88%E3%83%B3%E3%83%9B%E3%83%86%E3%83%AB%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad322644/,2026-08-08T16:27:30+09:00,
236,stage-079-2,ニューオータニイン横浜プレミアム,神奈川県,新高島・横浜駅東口,桜木町,stage-079,79,KT Zepp Yokohama,2,stage,https://www.jalan.net/yad362198/,ニューオータニイン横浜プレミアム,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%AA%E3%83%BC%E3%82%BF%E3%83%8B%E3%82%A4%E3%83%B3%E6%A8%AA%E6%B5%9C%E3%83%97%E3%83%AC%E3%83%9F%E3%82%A2%E3%83%A0%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad362198/,2026-08-08T16:27:34+09:00,
237,stage-079-3,相鉄フレッサイン 横浜桜木町,神奈川県,新高島・横浜駅東口,馬車道,stage-079,79,KT Zepp Yokohama,3,stage,https://www.jalan.net/yad369618/,相鉄フレッサイン横浜桜木町,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E7%9B%B8%E9%89%84%E3%83%95%E3%83%AC%E3%83%83%E3%82%B5%E3%82%A4%E3%83%B3%20%E6%A8%AA%E6%B5%9C%E6%A1%9C%E6%9C%A8%E7%94%BA%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad369618/,2026-08-08T16:27:37+09:00,
238,stage-080-1,ホテルJALシティ関内 横浜,神奈川県,関内・伊勢佐木長者町,日本大通り,stage-080,80,横浜BUNTAI,1,stage,https://www.jalan.net/yad362892/,ホテルＪＡＬシティ関内横浜,verified,1.0,True,True,hotel name matches Jalan page; location context consistent,https://search.yahoo.co.jp/search?p=%22%E3%83%9B%E3%83%86%E3%83%ABJAL%E3%82%B7%E3%83%86%E3%82%A3%E9%96%A2%E5%86%85%20%E6%A8%AA%E6%B5%9C%22%20%E3%81%98%E3%82%83%E3%82%89%E3%82%93,https://www.jalan.net/yad362892/,2026-08-08T16:27:40+09:00,
